,Model,Score
0,meanLR,0.9323
1,meanLDA,0.933
2,meanKNN,0.9306
3,meanCART,0.8976
4,meanNB,0.9317
5,meanAB,0.935
6,meanGBM,0.9363
7,meanRF,0.9346
8,meanET,0.9326
9,medianLR,0.9323
10,medianLDA,0.933
11,medianKNN,0.9306
12,medianCART,0.8975
13,medianNB,0.9317
14,medianAB,0.935
15,medianGBM,0.9363
16,medianRF,0.9346
17,medianET,0.9327
18,KNNLR,0.9323
19,KNNLDA,0.933
20,KNNKNN,0.9306
21,KNNCART,0.8978
22,KNNNB,0.9317
23,KNNAB,0.935
24,KNNGBM,0.9364
25,KNNRF,0.9349
26,KNNET,0.9326
27,iterativeLR,0.9323
28,iterativeLDA,0.933
29,iterativeKNN,0.9306
30,iterativeCART,0.898
31,iterativeNB,0.9317
32,iterativeAB,0.935
33,iterativeGBM,0.9363
34,iterativeRF,0.9346
35,iterativeET,0.9327
